date;state;cases;deaths;popData2018
2020-01-01;Afghanistan;0;0;37172386
2020-01-01;Algeria;0;0;42228429
2020-01-01;Armenia;0;0;2951776
2020-01-01;Australia;0;0;24992369
2020-01-01;Austria;0;0;8847037
2020-01-01;Azerbaijan;0;0;9942334
2020-01-01;Bahrain;0;0;1569439
2020-01-01;Belarus;0;0;9485386
2020-01-01;Belgium;0;0;11422068
2020-01-01;Brazil;0;0;209469333
2020-01-01;Cambodia;0;0;16249798
2020-01-01;Canada;0;0;37058856
2020-01-01;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-01;China;0;0;1392730000
2020-01-01;Croatia;0;0;4089400
2020-01-01;Czechia;0;0;10625695
2020-01-01;Denmark;0;0;5797446
2020-01-01;Dominican_Republic;0;0;10627165
2020-01-01;Ecuador;0;0;17084357
2020-01-01;Egypt;0;0;98423595
2020-01-01;Estonia;0;0;1320884
2020-01-01;Finland;0;0;5518050
2020-01-01;France;0;0;66987244
2020-01-01;Georgia;0;0;3731000
2020-01-01;Germany;0;0;82927922
2020-01-01;Greece;0;0;10727668
2020-01-01;Iceland;0;0;353574
2020-01-01;India;0;0;1352617328
2020-01-01;Indonesia;0;0;267663435
2020-01-01;Iran;0;0;81800269
2020-01-01;Iraq;0;0;38433600
2020-01-01;Ireland;0;0;4853506
2020-01-01;Israel;0;0;8883800
2020-01-01;Italy;0;0;60431283
2020-01-01;Japan;0;0;126529100
2020-01-01;Kuwait;0;0;4137309
2020-01-01;Lebanon;0;0;6848925
2020-01-01;Lithuania;0;0;2789533
2020-01-01;Luxembourg;0;0;607728
2020-01-01;Malaysia;0;0;31528585
2020-01-01;Mexico;0;0;126190788
2020-01-01;Monaco;0;0;38682
2020-01-01;Nepal;0;0;28087871
2020-01-01;Netherlands;0;0;17231017
2020-01-01;New_Zealand;0;0;4885500
2020-01-01;Nigeria;0;0;195874740
2020-01-01;North_Macedonia;0;0;2082958
2020-01-01;Norway;0;0;5314336
2020-01-01;Oman;0;0;4829483
2020-01-01;Pakistan;0;0;212215030
2020-01-01;Philippines;0;0;106651922
2020-01-01;Qatar;0;0;2781677
2020-01-01;Romania;0;0;19473936
2020-01-01;Russia;0;0;144478050
2020-01-01;San_Marino;0;0;33785
2020-01-01;Singapore;0;0;5638676
2020-01-01;South_Korea;0;0;51635256
2020-01-01;Spain;0;0;46723749
2020-01-01;Sri_Lanka;0;0;21670000
2020-01-01;Sweden;0;0;10183175
2020-01-01;Switzerland;0;0;8516543
2020-01-01;Taiwan;0;0;23780452
2020-01-01;Thailand;0;0;69428524
2020-01-01;United_Arab_Emirates;0;0;9630959
2020-01-01;United_Kingdom;0;0;66488991
2020-01-01;United_States_of_America;0;0;327167434
2020-01-01;Vietnam;0;0;95540395
2020-01-02;Afghanistan;0;0;37172386
2020-01-02;Algeria;0;0;42228429
2020-01-02;Armenia;0;0;2951776
2020-01-02;Australia;0;0;24992369
2020-01-02;Austria;0;0;8847037
2020-01-02;Azerbaijan;0;0;9942334
2020-01-02;Bahrain;0;0;1569439
2020-01-02;Belarus;0;0;9485386
2020-01-02;Belgium;0;0;11422068
2020-01-02;Brazil;0;0;209469333
2020-01-02;Cambodia;0;0;16249798
2020-01-02;Canada;0;0;37058856
2020-01-02;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-02;China;0;0;1392730000
2020-01-02;Croatia;0;0;4089400
2020-01-02;Czechia;0;0;10625695
2020-01-02;Denmark;0;0;5797446
2020-01-02;Dominican_Republic;0;0;10627165
2020-01-02;Ecuador;0;0;17084357
2020-01-02;Egypt;0;0;98423595
2020-01-02;Estonia;0;0;1320884
2020-01-02;Finland;0;0;5518050
2020-01-02;France;0;0;66987244
2020-01-02;Georgia;0;0;3731000
2020-01-02;Germany;0;0;82927922
2020-01-02;Greece;0;0;10727668
2020-01-02;Iceland;0;0;353574
2020-01-02;India;0;0;1352617328
2020-01-02;Indonesia;0;0;267663435
2020-01-02;Iran;0;0;81800269
2020-01-02;Iraq;0;0;38433600
2020-01-02;Ireland;0;0;4853506
2020-01-02;Israel;0;0;8883800
2020-01-02;Italy;0;0;60431283
2020-01-02;Japan;0;0;126529100
2020-01-02;Kuwait;0;0;4137309
2020-01-02;Lebanon;0;0;6848925
2020-01-02;Lithuania;0;0;2789533
2020-01-02;Luxembourg;0;0;607728
2020-01-02;Malaysia;0;0;31528585
2020-01-02;Mexico;0;0;126190788
2020-01-02;Monaco;0;0;38682
2020-01-02;Nepal;0;0;28087871
2020-01-02;Netherlands;0;0;17231017
2020-01-02;New_Zealand;0;0;4885500
2020-01-02;Nigeria;0;0;195874740
2020-01-02;North_Macedonia;0;0;2082958
2020-01-02;Norway;0;0;5314336
2020-01-02;Oman;0;0;4829483
2020-01-02;Pakistan;0;0;212215030
2020-01-02;Philippines;0;0;106651922
2020-01-02;Qatar;0;0;2781677
2020-01-02;Romania;0;0;19473936
2020-01-02;Russia;0;0;144478050
2020-01-02;San_Marino;0;0;33785
2020-01-02;Singapore;0;0;5638676
2020-01-02;South_Korea;0;0;51635256
2020-01-02;Spain;0;0;46723749
2020-01-02;Sri_Lanka;0;0;21670000
2020-01-02;Sweden;0;0;10183175
2020-01-02;Switzerland;0;0;8516543
2020-01-02;Taiwan;0;0;23780452
2020-01-02;Thailand;0;0;69428524
2020-01-02;United_Arab_Emirates;0;0;9630959
2020-01-02;United_Kingdom;0;0;66488991
2020-01-02;United_States_of_America;0;0;327167434
2020-01-02;Vietnam;0;0;95540395
2020-01-03;Afghanistan;0;0;37172386
2020-01-03;Algeria;0;0;42228429
2020-01-03;Armenia;0;0;2951776
2020-01-03;Australia;0;0;24992369
2020-01-03;Austria;0;0;8847037
2020-01-03;Azerbaijan;0;0;9942334
2020-01-03;Bahrain;0;0;1569439
2020-01-03;Belarus;0;0;9485386
2020-01-03;Belgium;0;0;11422068
2020-01-03;Brazil;0;0;209469333
2020-01-03;Cambodia;0;0;16249798
2020-01-03;Canada;0;0;37058856
2020-01-03;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-03;China;17;0;1392730000
2020-01-03;Croatia;0;0;4089400
2020-01-03;Czechia;0;0;10625695
2020-01-03;Denmark;0;0;5797446
2020-01-03;Dominican_Republic;0;0;10627165
2020-01-03;Ecuador;0;0;17084357
2020-01-03;Egypt;0;0;98423595
2020-01-03;Estonia;0;0;1320884
2020-01-03;Finland;0;0;5518050
2020-01-03;France;0;0;66987244
2020-01-03;Georgia;0;0;3731000
2020-01-03;Germany;0;0;82927922
2020-01-03;Greece;0;0;10727668
2020-01-03;Iceland;0;0;353574
2020-01-03;India;0;0;1352617328
2020-01-03;Indonesia;0;0;267663435
2020-01-03;Iran;0;0;81800269
2020-01-03;Iraq;0;0;38433600
2020-01-03;Ireland;0;0;4853506
2020-01-03;Israel;0;0;8883800
2020-01-03;Italy;0;0;60431283
2020-01-03;Japan;0;0;126529100
2020-01-03;Kuwait;0;0;4137309
2020-01-03;Lebanon;0;0;6848925
2020-01-03;Lithuania;0;0;2789533
2020-01-03;Luxembourg;0;0;607728
2020-01-03;Malaysia;0;0;31528585
2020-01-03;Mexico;0;0;126190788
2020-01-03;Monaco;0;0;38682
2020-01-03;Nepal;0;0;28087871
2020-01-03;Netherlands;0;0;17231017
2020-01-03;New_Zealand;0;0;4885500
2020-01-03;Nigeria;0;0;195874740
2020-01-03;North_Macedonia;0;0;2082958
2020-01-03;Norway;0;0;5314336
2020-01-03;Oman;0;0;4829483
2020-01-03;Pakistan;0;0;212215030
2020-01-03;Philippines;0;0;106651922
2020-01-03;Qatar;0;0;2781677
2020-01-03;Romania;0;0;19473936
2020-01-03;Russia;0;0;144478050
2020-01-03;San_Marino;0;0;33785
2020-01-03;Singapore;0;0;5638676
2020-01-03;South_Korea;0;0;51635256
2020-01-03;Spain;0;0;46723749
2020-01-03;Sri_Lanka;0;0;21670000
2020-01-03;Sweden;0;0;10183175
2020-01-03;Switzerland;0;0;8516543
2020-01-03;Taiwan;0;0;23780452
2020-01-03;Thailand;0;0;69428524
2020-01-03;United_Arab_Emirates;0;0;9630959
2020-01-03;United_Kingdom;0;0;66488991
2020-01-03;United_States_of_America;0;0;327167434
2020-01-03;Vietnam;0;0;95540395
2020-01-04;Afghanistan;0;0;37172386
2020-01-04;Algeria;0;0;42228429
2020-01-04;Armenia;0;0;2951776
2020-01-04;Australia;0;0;24992369
2020-01-04;Austria;0;0;8847037
2020-01-04;Azerbaijan;0;0;9942334
2020-01-04;Bahrain;0;0;1569439
2020-01-04;Belarus;0;0;9485386
2020-01-04;Belgium;0;0;11422068
2020-01-04;Brazil;0;0;209469333
2020-01-04;Cambodia;0;0;16249798
2020-01-04;Canada;0;0;37058856
2020-01-04;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-04;China;0;0;1392730000
2020-01-04;Croatia;0;0;4089400
2020-01-04;Czechia;0;0;10625695
2020-01-04;Denmark;0;0;5797446
2020-01-04;Dominican_Republic;0;0;10627165
2020-01-04;Ecuador;0;0;17084357
2020-01-04;Egypt;0;0;98423595
2020-01-04;Estonia;0;0;1320884
2020-01-04;Finland;0;0;5518050
2020-01-04;France;0;0;66987244
2020-01-04;Georgia;0;0;3731000
2020-01-04;Germany;0;0;82927922
2020-01-04;Greece;0;0;10727668
2020-01-04;Iceland;0;0;353574
2020-01-04;India;0;0;1352617328
2020-01-04;Indonesia;0;0;267663435
2020-01-04;Iran;0;0;81800269
2020-01-04;Iraq;0;0;38433600
2020-01-04;Ireland;0;0;4853506
2020-01-04;Israel;0;0;8883800
2020-01-04;Italy;0;0;60431283
2020-01-04;Japan;0;0;126529100
2020-01-04;Kuwait;0;0;4137309
2020-01-04;Lebanon;0;0;6848925
2020-01-04;Lithuania;0;0;2789533
2020-01-04;Luxembourg;0;0;607728
2020-01-04;Malaysia;0;0;31528585
2020-01-04;Mexico;0;0;126190788
2020-01-04;Monaco;0;0;38682
2020-01-04;Nepal;0;0;28087871
2020-01-04;Netherlands;0;0;17231017
2020-01-04;New_Zealand;0;0;4885500
2020-01-04;Nigeria;0;0;195874740
2020-01-04;North_Macedonia;0;0;2082958
2020-01-04;Norway;0;0;5314336
2020-01-04;Oman;0;0;4829483
2020-01-04;Pakistan;0;0;212215030
2020-01-04;Philippines;0;0;106651922
2020-01-04;Qatar;0;0;2781677
2020-01-04;Romania;0;0;19473936
2020-01-04;Russia;0;0;144478050
2020-01-04;San_Marino;0;0;33785
2020-01-04;Singapore;0;0;5638676
2020-01-04;South_Korea;0;0;51635256
2020-01-04;Spain;0;0;46723749
2020-01-04;Sri_Lanka;0;0;21670000
2020-01-04;Sweden;0;0;10183175
2020-01-04;Switzerland;0;0;8516543
2020-01-04;Taiwan;0;0;23780452
2020-01-04;Thailand;0;0;69428524
2020-01-04;United_Arab_Emirates;0;0;9630959
2020-01-04;United_Kingdom;0;0;66488991
2020-01-04;United_States_of_America;0;0;327167434
2020-01-04;Vietnam;0;0;95540395
2020-01-05;Afghanistan;0;0;37172386
2020-01-05;Algeria;0;0;42228429
2020-01-05;Armenia;0;0;2951776
2020-01-05;Australia;0;0;24992369
2020-01-05;Austria;0;0;8847037
2020-01-05;Azerbaijan;0;0;9942334
2020-01-05;Bahrain;0;0;1569439
2020-01-05;Belarus;0;0;9485386
2020-01-05;Belgium;0;0;11422068
2020-01-05;Brazil;0;0;209469333
2020-01-05;Cambodia;0;0;16249798
2020-01-05;Canada;0;0;37058856
2020-01-05;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-05;China;15;0;1392730000
2020-01-05;Croatia;0;0;4089400
2020-01-05;Czechia;0;0;10625695
2020-01-05;Denmark;0;0;5797446
2020-01-05;Dominican_Republic;0;0;10627165
2020-01-05;Ecuador;0;0;17084357
2020-01-05;Egypt;0;0;98423595
2020-01-05;Estonia;0;0;1320884
2020-01-05;Finland;0;0;5518050
2020-01-05;France;0;0;66987244
2020-01-05;Georgia;0;0;3731000
2020-01-05;Germany;0;0;82927922
2020-01-05;Greece;0;0;10727668
2020-01-05;Iceland;0;0;353574
2020-01-05;India;0;0;1352617328
2020-01-05;Indonesia;0;0;267663435
2020-01-05;Iran;0;0;81800269
2020-01-05;Iraq;0;0;38433600
2020-01-05;Ireland;0;0;4853506
2020-01-05;Israel;0;0;8883800
2020-01-05;Italy;0;0;60431283
2020-01-05;Japan;0;0;126529100
2020-01-05;Kuwait;0;0;4137309
2020-01-05;Lebanon;0;0;6848925
2020-01-05;Lithuania;0;0;2789533
2020-01-05;Luxembourg;0;0;607728
2020-01-05;Malaysia;0;0;31528585
2020-01-05;Mexico;0;0;126190788
2020-01-05;Monaco;0;0;38682
2020-01-05;Nepal;0;0;28087871
2020-01-05;Netherlands;0;0;17231017
2020-01-05;New_Zealand;0;0;4885500
2020-01-05;Nigeria;0;0;195874740
2020-01-05;North_Macedonia;0;0;2082958
2020-01-05;Norway;0;0;5314336
2020-01-05;Oman;0;0;4829483
2020-01-05;Pakistan;0;0;212215030
2020-01-05;Philippines;0;0;106651922
2020-01-05;Qatar;0;0;2781677
2020-01-05;Romania;0;0;19473936
2020-01-05;Russia;0;0;144478050
2020-01-05;San_Marino;0;0;33785
2020-01-05;Singapore;0;0;5638676
2020-01-05;South_Korea;0;0;51635256
2020-01-05;Spain;0;0;46723749
2020-01-05;Sri_Lanka;0;0;21670000
2020-01-05;Sweden;0;0;10183175
2020-01-05;Switzerland;0;0;8516543
2020-01-05;Taiwan;0;0;23780452
2020-01-05;Thailand;0;0;69428524
2020-01-05;United_Arab_Emirates;0;0;9630959
2020-01-05;United_Kingdom;0;0;66488991
2020-01-05;United_States_of_America;0;0;327167434
2020-01-05;Vietnam;0;0;95540395
2020-01-06;Afghanistan;0;0;37172386
2020-01-06;Algeria;0;0;42228429
2020-01-06;Armenia;0;0;2951776
2020-01-06;Australia;0;0;24992369
2020-01-06;Austria;0;0;8847037
2020-01-06;Azerbaijan;0;0;9942334
2020-01-06;Bahrain;0;0;1569439
2020-01-06;Belarus;0;0;9485386
2020-01-06;Belgium;0;0;11422068
2020-01-06;Brazil;0;0;209469333
2020-01-06;Cambodia;0;0;16249798
2020-01-06;Canada;0;0;37058856
2020-01-06;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-06;China;0;0;1392730000
2020-01-06;Croatia;0;0;4089400
2020-01-06;Czechia;0;0;10625695
2020-01-06;Denmark;0;0;5797446
2020-01-06;Dominican_Republic;0;0;10627165
2020-01-06;Ecuador;0;0;17084357
2020-01-06;Egypt;0;0;98423595
2020-01-06;Estonia;0;0;1320884
2020-01-06;Finland;0;0;5518050
2020-01-06;France;0;0;66987244
2020-01-06;Georgia;0;0;3731000
2020-01-06;Germany;0;0;82927922
2020-01-06;Greece;0;0;10727668
2020-01-06;Iceland;0;0;353574
2020-01-06;India;0;0;1352617328
2020-01-06;Indonesia;0;0;267663435
2020-01-06;Iran;0;0;81800269
2020-01-06;Iraq;0;0;38433600
2020-01-06;Ireland;0;0;4853506
2020-01-06;Israel;0;0;8883800
2020-01-06;Italy;0;0;60431283
2020-01-06;Japan;0;0;126529100
2020-01-06;Kuwait;0;0;4137309
2020-01-06;Lebanon;0;0;6848925
2020-01-06;Lithuania;0;0;2789533
2020-01-06;Luxembourg;0;0;607728
2020-01-06;Malaysia;0;0;31528585
2020-01-06;Mexico;0;0;126190788
2020-01-06;Monaco;0;0;38682
2020-01-06;Nepal;0;0;28087871
2020-01-06;Netherlands;0;0;17231017
2020-01-06;New_Zealand;0;0;4885500
2020-01-06;Nigeria;0;0;195874740
2020-01-06;North_Macedonia;0;0;2082958
2020-01-06;Norway;0;0;5314336
2020-01-06;Oman;0;0;4829483
2020-01-06;Pakistan;0;0;212215030
2020-01-06;Philippines;0;0;106651922
2020-01-06;Qatar;0;0;2781677
2020-01-06;Romania;0;0;19473936
2020-01-06;Russia;0;0;144478050
2020-01-06;San_Marino;0;0;33785
2020-01-06;Singapore;0;0;5638676
2020-01-06;South_Korea;0;0;51635256
2020-01-06;Spain;0;0;46723749
2020-01-06;Sri_Lanka;0;0;21670000
2020-01-06;Sweden;0;0;10183175
2020-01-06;Switzerland;0;0;8516543
2020-01-06;Taiwan;0;0;23780452
2020-01-06;Thailand;0;0;69428524
2020-01-06;United_Arab_Emirates;0;0;9630959
2020-01-06;United_Kingdom;0;0;66488991
2020-01-06;United_States_of_America;0;0;327167434
2020-01-06;Vietnam;0;0;95540395
2020-01-07;Afghanistan;0;0;37172386
2020-01-07;Algeria;0;0;42228429
2020-01-07;Armenia;0;0;2951776
2020-01-07;Australia;0;0;24992369
2020-01-07;Austria;0;0;8847037
2020-01-07;Azerbaijan;0;0;9942334
2020-01-07;Bahrain;0;0;1569439
2020-01-07;Belarus;0;0;9485386
2020-01-07;Belgium;0;0;11422068
2020-01-07;Brazil;0;0;209469333
2020-01-07;Cambodia;0;0;16249798
2020-01-07;Canada;0;0;37058856
2020-01-07;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-07;China;0;0;1392730000
2020-01-07;Croatia;0;0;4089400
2020-01-07;Czechia;0;0;10625695
2020-01-07;Denmark;0;0;5797446
2020-01-07;Dominican_Republic;0;0;10627165
2020-01-07;Ecuador;0;0;17084357
2020-01-07;Egypt;0;0;98423595
2020-01-07;Estonia;0;0;1320884
2020-01-07;Finland;0;0;5518050
2020-01-07;France;0;0;66987244
2020-01-07;Georgia;0;0;3731000
2020-01-07;Germany;0;0;82927922
2020-01-07;Greece;0;0;10727668
2020-01-07;Iceland;0;0;353574
2020-01-07;India;0;0;1352617328
2020-01-07;Indonesia;0;0;267663435
2020-01-07;Iran;0;0;81800269
2020-01-07;Iraq;0;0;38433600
2020-01-07;Ireland;0;0;4853506
2020-01-07;Israel;0;0;8883800
